062735|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3040.wav|spectrograms/062735.npy|linear_spectrograms/062735.npy|Poco a poco fui perdiéndole el miedo: me causaba cierto respeto; pero amarle. ¡eso imposible!|poko a poko fwi peɾðjendole el mjeðo: me kaʊsaβa θjeɾto ɾɾespeto; peɾo amaɾle... ¡eso imposiβle!...
053457|spanish|spanish|spanish/19demarzo/19demarzo_0275.wav|spectrograms/053457.npy|linear_spectrograms/053457.npy|¡Viva el comendante Pujitos! ¡Oh espectáculo lastimoso! dijo Don CelestinoEstá como una cuba.| ¡biβa el komendante puxitos! -¡o espektakulo lastimoso! -dixo don θelestino. esta komo una kuβa.
060703|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1008.wav|spectrograms/060703.npy|linear_spectrograms/060703.npy|pero he intentado disuadirle de su empeño, porque no posee conocimientos facultativos.|peɾo e intentaðo diswaðiɾle de su empeɲo, poɾke no posee konoθimjɛntos fakultatiβos.
056876|spanish|spanish|spanish/bailen/bailen_0421.wav|spectrograms/056876.npy|linear_spectrograms/056876.npy|Santorcaz sonreía. Después de una pausa, dijo con cierta petulancia: ¿De modo que no ha leído Usted la Enciclopedia?|santoɾkaθ sonreia. despwes de una paʊsa, dixo kon θjeɾta petulanθja: -¿de moðo ke no a leiðo usted la enθiklopeðja?
059193|spanish|spanish|spanish/bailen/bailen_2738.wav|spectrograms/059193.npy|linear_spectrograms/059193.npy|¿Y amabais vosotros a mi hijo? ¡Oh! sí señora. Don Diego es tan bueno. y nos trata como si fuéramos todos iguales.| -¿i amaβaɪs bosotɾos a mi ixo? -¡o!, si seɲoɾa. don djeɣo es tan bweno... i nos tɾata komo si fweɾamos toðos iɣwales.
056719|spanish|spanish|spanish/bailen/bailen_0264.wav|spectrograms/056719.npy|linear_spectrograms/056719.npy|El terreno es por allí bastante quebrado, abundando los matorrales y chaparros; y entre estos designaron un camino de trocha por donde avanzó la infantería,|el teɾɾeno es poɾ aʎi bastante keβɾaðo, aβundando los matoɾɾales i tʃapaɾɾos; i ɛntɾe estos desiɡnaɾon un kamino de tɾotʃa poɾ donde aβanθo la imfanteɾia,
057380|spanish|spanish|spanish/bailen/bailen_0925.wav|spectrograms/057380.npy|linear_spectrograms/057380.npy|detrás de los carros nuevos grupos de infantería y muchos generales; después otros seis cañones, dos regimientos de coraceros,|detɾas de los kaɾɾos nweβos ɡɾupos de imfanteɾia i mutʃos xeneɾales; despwes otɾos seɪs kaɲones, dos ɾɾeximjɛntos de koɾaθeɾos,
056985|spanish|spanish|spanish/bailen/bailen_0530.wav|spectrograms/056985.npy|linear_spectrograms/056985.npy|viéndonos por esto obligados a diferir nuestra expedición para el día siguiente muy temprano.|bjendonos poɾ esto oβliɣaðos a difeɾiɾ nwestɾa ekspeðiθjon paɾa el dia siɣjɛnte mujj tempɾano.
059383|spanish|spanish|spanish/bailen/bailen_2928.wav|spectrograms/059383.npy|linear_spectrograms/059383.npy|así como la convocatoria de irrisorias Cortes en la ciudad del Adour, y el pleito homenaje por algunos grandes tributado a Bonaparte,|asi komo la kombokatoɾja de iɾɾisoɾjas koɾtes en la θjuðad del aðowɾ, i el pleɪto omenaxe poɾ alɣunos ɡɾandes tɾiβutaðo a bonapaɾte,
055190|spanish|spanish|spanish/19demarzo/19demarzo_2008.wav|spectrograms/055190.npy|linear_spectrograms/055190.npy|Del tiro y toque de corneta no tengo duda, porque los oí perfectamente. En cuanto a la luz, yo no la vi,|del tiɾo i toke de koɾneta no tɛŋɡo duða, poɾke los oi peɾfektamente. en kwanto a la luθ, ʝo no la bi,
060827|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1132.wav|spectrograms/060827.npy|linear_spectrograms/060827.npy|no menos destartalado y viejo que aquel de la célebre catástrofe, guiando ella misma y acompañada de un rapazuelo de Santi Spíritus!|no menos destaɾtalaðo i bjexo ke akel de la θeleβɾe katastɾofe, ɡjando eʎa misma i akompaɲaða de un ɾɾapaθwelo de santi spiɾitus!
055101|spanish|spanish|spanish/19demarzo/19demarzo_1919.wav|spectrograms/055101.npy|linear_spectrograms/055101.npy|verde, se leía: Mauro Requexo, inscripción pintada con letras amarillas;|beɾðe, se leia: maʊɾo ɾɾekekso, inskɾipθjon pintaða kon letɾas amaɾiʎas;
062762|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3067.wav|spectrograms/062762.npy|linear_spectrograms/062762.npy|Él me ponderaba las injusticias y picardías que rigen a la sociedad de hoy, asegurando que era preciso volver todo del revés,|el me pondeɾaβa las iŋxustiθjas i pikaɾðias ke ɾɾixen a la soθjeðad de oɪ, aseɣuɾando ke eɾa pɾeθiso bolβeɾ toðo del ɾɾeβes,
055610|spanish|spanish|spanish/19demarzo/19demarzo_2428.wav|spectrograms/055610.npy|linear_spectrograms/055610.npy|los Requejos han comprendido que la muchacha es un tesoro, y ¡ay! no me queda duda de que el Requejo mayor,|los ɾɾekexos an kompɾendiðo ke la mutʃatʃa es un tesoɾo, i ¡aɪ!, no me keða duða de ke el ɾɾekexo majjoɾ,
054875|spanish|spanish|spanish/19demarzo/19demarzo_1693.wav|spectrograms/054875.npy|linear_spectrograms/054875.npy|¡Ay, Restituta, qué marido tan mudo va Usted a tener! Y lo que es por palabra de más o por palabra de menos no armarán Ustedes camorra.| ¡aɪ, ɾɾestituta, ke maɾiðo tan muðo ba usted a teneɾ! i lo ke es poɾ palaβɾa de mas o poɾ palaβɾa de menos no aɾmaɾan usteðes kamoɾɾa.
059168|spanish|spanish|spanish/bailen/bailen_2713.wav|spectrograms/059168.npy|linear_spectrograms/059168.npy|No vine aquí para ganar charreteras; pero puesto que me las dan, las tomo. Grandes hazañas habrá hecho el Señor Don Luis. Poca cosa.|no bine aki paɾa ɡanaɾ tʃaɾɾeteɾas; peɾo pwesto ke me las dan, las tomo. -ɡɾandes aθaɲas aβɾa etʃo el seɲoɾ don luis. -poka kosa.
055689|spanish|spanish|spanish/19demarzo/19demarzo_2507.wav|spectrograms/055689.npy|linear_spectrograms/055689.npy|No te des prisa, pimpollita -decía Don Mauro-, que todavía hay tiempo de sobra.| -no te des pɾisa, pimpoʎita -deθia don maʊɾo, ke toðaβia aɪ tjempo de soβɾa.
058628|spanish|spanish|spanish/bailen/bailen_2173.wav|spectrograms/058628.npy|linear_spectrograms/058628.npy|Llegaron los franceses a la Puerta Nueva, y mientras las autoridades hablaban con ellos para darles entrada, de una casa cercana salieron algunos tiros.|ʎeɣaɾon los fɾanθeses a la pweɾta nweβa, i mjɛntɾas las aʊtoɾiðaðes aβlaβan kon eʎos paɾa daɾles entɾaða, de una kasa θeɾkana saljeɾon alɣunos tiɾos.
063647|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3952.wav|spectrograms/063647.npy|linear_spectrograms/063647.npy|El hospitalario que antes vi, entró al oír mis gritos, y ambos procuraron calmarme. Otra vez le empieza el deliriodijo Juan de Dios.|el ospitalaɾjo ke antes bi, entɾo al oiɾ mis ɡɾitos, i ambos pɾokuɾaɾon kalmaɾme. -otɾa beθ le empjeθa el deliɾjo -dixo xwan de djos.
053750|spanish|spanish|spanish/19demarzo/19demarzo_0568.wav|spectrograms/053750.npy|linear_spectrograms/053750.npy|Yo te llevaré a casa del Señor Pedro Collado; criado de Su Alteza el príncipe Fernando, y verás cómo te dan soldada. ¿Ves esos paletos manchegos que andan por ahí?|ʝo te ʎeβaɾe a kasa del seɲoɾ peðɾo koʎaðo; kɾiaðo de su alteθa el pɾinθipe feɾnando, i beɾas komo te dan solðaða. ¿bes esos paletos mantʃeɣos ke andan poɾ ai?
056147|spanish|spanish|spanish/19demarzo/19demarzo_2965.wav|spectrograms/056147.npy|linear_spectrograms/056147.npy|Pues digo -afirmé con enfado- que ese don Mauro y su señora hermana son dos grandísimos pillos. Poco a poco -continuó el cura-.| -pwes diɣo -afiɾme kon emfaðo ke ese don maʊɾo i su seɲoɾa eɾmana son dos ɡɾandisimos piʎos. -poko a poko -kontinwo el kuɾa.
058309|spanish|spanish|spanish/bailen/bailen_1854.wav|spectrograms/058309.npy|linear_spectrograms/058309.npy|La carta continuaba así:|la kaɾta kontinwaβa asi:
057877|spanish|spanish|spanish/bailen/bailen_1422.wav|spectrograms/057877.npy|linear_spectrograms/057877.npy|Y di, ¿tienes ánimos de volver a hacer de las tuyas?|i di, ¿tjenes animos de bolβeɾ a aθeɾ de las tujjas?
055649|spanish|spanish|spanish/19demarzo/19demarzo_2467.wav|spectrograms/055649.npy|linear_spectrograms/055649.npy|al decir esto no pude contener las lágrimas. Bien claro se ve que al príncipe le interesa mucho cuanto se refiere a la religión.|al deθiɾ esto no puðe konteneɾ las laɣɾimas. bjen klaɾo se be ke al pɾinθipe le inteɾesa mutʃo kwanto se ɾɾefjeɾe a la ɾɾelixjon.
057684|spanish|spanish|spanish/bailen/bailen_1229.wav|spectrograms/057684.npy|linear_spectrograms/057684.npy|Sí señora, mucho. Aquello me desgarraba el corazóncontesté sin cuidarme de disimular los tiernos sentimientos de mi alma.| -si seɲoɾa, mutʃo. akeʎo me desɣaɾɾaβa el koɾaθon -konteste sin kwiðaɾme de disimulaɾ los tjeɾnos sentimjɛntos de mi alma.
062573|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_2878.wav|spectrograms/062573.npy|linear_spectrograms/062573.npy|Y harás de mí lo que se te antoje, como un chiquillo sin piedad que martiriza al león en su jaula porque sabe que este no puede hacerle daño.| -i aɾas de mi lo ke se te antoxe, komo un tʃikiʎo sin pjeðad ke maɾtiɾiθa al leon en su xaʊla poɾke saβe ke este no pweðe aθeɾle daɲo.
055882|spanish|spanish|spanish/19demarzo/19demarzo_2700.wav|spectrograms/055882.npy|linear_spectrograms/055882.npy|Para exponerle tu pretensión -me dijo el tío de Inés-, debes esperar a que yo lea mi poema, en lo cual con la pausa| -paɾa eksponeɾle tu pɾetensjon -me dixo el tio de ines, deβes espeɾaɾ a ke ʝo lea mi poema, en lo kwal kon la paʊsa
058269|spanish|spanish|spanish/bailen/bailen_1814.wav|spectrograms/058269.npy|linear_spectrograms/058269.npy|Las columnas francesas del ala derecha se desplegaron en línea y rompieron el fuego contra nuestra izquierda.|las kolumnas fɾanθesas del ala deɾetʃa se despleɣaɾon en linea i ɾɾompjeɾon el fweɣo kontɾa nwestɾa iθkjeɾða.
061769|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_2074.wav|spectrograms/061769.npy|linear_spectrograms/061769.npy|echar una cuerda al cuello de ese hombre para llevarle a una casa de locos; no se os ocurre comprar una espada vieja y batiros con medio mundo,|etʃaɾ una kweɾða al kweʎo de ese ombɾe paɾa ʎeβaɾle a una kasa de lokos; no se os okuɾɾe kompɾaɾ una espaða bjexa i batiɾos kon meðjo mundo,
061075|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1380.wav|spectrograms/061075.npy|linear_spectrograms/061075.npy|Yo se las sacaré de las tripas. Me obligó a que se las vendiera -continué-; pero puedo dar a usía el dinero que me entregó;|ʝo se las sakaɾe de las tɾipas. -me oβliɣo a ke se las bendjeɾa -kontinwe; peɾo pweðo daɾ a usia el dineɾo ke me entɾeɣo;
062957|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3262.wav|spectrograms/062957.npy|linear_spectrograms/062957.npy|La más refinada cortesía y un excelente humor de bromas inspiraban mis contestaciones.|la mas ɾɾefinaða koɾtesia i un eksθelɛnte umoɾ de bɾomas inspiɾaβan mis kontestaθjones.
054297|spanish|spanish|spanish/19demarzo/19demarzo_1115.wav|spectrograms/054297.npy|linear_spectrograms/054297.npy|era Juan de Dios en persona. Cuando me vio, su espanto fue tan grande, que la linterna con que se alumbraba estuvo a punto de caer de sus manos.|eɾa xwan de djos en peɾsona. kwando me bjo, su espanto fwe tan ɡɾande, ke la linteɾna kon ke se alumbɾaβa estuβo a punto de kaeɾ de sus manos.
063552|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3857.wav|spectrograms/063552.npy|linear_spectrograms/063552.npy|¡Pobre Señora Don Gabriel de Araceli! ¡En qué estado tan lastimoso se halla! Al oír esto, mi espíritu experimentó un gran alborozo.| -¡poβɾe seɲoɾa don ɡaβɾiel de aɾaθeli! ¡en ke estaðo tan lastimoso se aʎa! al oiɾ esto, mi espiɾitu ekspeɾimento un ɡɾan alβoɾoθo.
063814|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_4119.wav|spectrograms/063814.npy|linear_spectrograms/063814.npy|debió de conocer que las tan aparatosas beldades eran obra de aquel que llevó a Jesús a la cima de la montaña y a la cúspide de la ciudad;|deβjo de konoθeɾ ke las tan apaɾatosas belðaðes eɾan oβɾa de akel ke ʎeβo a xesus a la θima de la montaɲa i a la kuspiðe de la θjuðad;
060794|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1099.wav|spectrograms/060794.npy|linear_spectrograms/060794.npy|desciña usted esas hermosas trenzas de oro, construyéndose en lo alto un moño del cual penderán cintas,|desθiɲa usted esas eɾmosas tɾɛnθas de oɾo, konstɾujjendose en lo alto un moɲo del kwal pendeɾan θintas,
063066|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_3371.wav|spectrograms/063066.npy|linear_spectrograms/063066.npy|por lo cual un poco turbado, contesté de este modo: ¡La Gran Bretaña! no deseo otra cosa que morir por ella.|poɾ lo kwal un poko tuɾβaðo, konteste de este moðo: -¡la ɡɾan bɾetaɲa! no deseo otɾa kosa ke moɾiɾ poɾ eʎa.
054967|spanish|spanish|spanish/19demarzo/19demarzo_1785.wav|spectrograms/054967.npy|linear_spectrograms/054967.npy|Trataré a Inesita como ella se merece, y Dios por delante. Antes de un mes la llevo a la parroquia.|tɾataɾe a inesita komo eʎa se meɾeθe, i djos poɾ delante. antes de un mes la ʎeβo a la paɾɾokja.
060665|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_0970.wav|spectrograms/060665.npy|linear_spectrograms/060665.npy|Ten presente que es preciso ir y volver. Lo supongo.|ten pɾesɛnte ke es pɾeθiso iɾ i bolβeɾ. -lo supoŋɡo.
061211|spanish|spanish|spanish/batalla_arapiles/batalla_arapiles_1516.wav|spectrograms/061211.npy|linear_spectrograms/061211.npy|con la perspicacia que adquirimos en la ocasión crítica en que la voluntad y el pensamiento tratan de sobreponerse con angustioso esfuerzo a obstáculos terribles,|kon la peɾspikaθja ke adkiɾimos en la okasjon kɾitika en ke la boluntad i el pensamjɛnto tɾatan de soβɾeponeɾse kon aŋɡustjoso esfweɾθo a oβstakulos teɾɾiβles,
056108|spanish|spanish|spanish/19demarzo/19demarzo_2926.wav|spectrograms/056108.npy|linear_spectrograms/056108.npy|Dicen que el rey no dio permiso para que entrara tanta gente, y parece que Napoleón se burla de la corte de España, y no hace maldito caso de lo que trató con ella.|diθen ke el ɾɾeɪ no djo peɾmiso paɾa ke entɾaɾa tanta xɛnte, i paɾeθe ke napoleon se buɾla de la koɾte de espaɲa, i no aθe malðito kaso de lo ke tɾato kon eʎa.
057968|spanish|spanish|spanish/bailen/bailen_1513.wav|spectrograms/057968.npy|linear_spectrograms/057968.npy|y para ellos era muy fácil, como lo es hoy,|i paɾa eʎos eɾa mujj faθil, komo lo es oɪ,
056313|spanish|spanish|spanish/19demarzo/19demarzo_3131.wav|spectrograms/056313.npy|linear_spectrograms/056313.npy|a menos que no nos metamos en medio del fuego. ¡En medio del fuego! ¡Qué horror! No: no expongamos la vida. Veo que también hacen fuego desde algún balcón.|a menos ke no nos metamos en meðjo del fweɣo. -¡en meðjo del fweɣo! ¡ke oɾɾoɾ! no: no ekspoŋɡamos la biða. beo ke tambjen aθen fweɣo desðe alɣun balkon.
057129|spanish|spanish|spanish/bailen/bailen_0674.wav|spectrograms/057129.npy|linear_spectrograms/057129.npy|porque casi gran partede la fuerza había acudido a la izquierda; pero una vez que se oyeron los gritos de júbilo de los soldados de esta, posesionados de la altura,|poɾke kasi ɡɾan paɾteðe la fweɾθa aβia akuðiðo a la iθkjeɾða; peɾo una beθ ke se ojjeɾon los ɡɾitos de xuβilo de los solðaðos de esta, posesjonaðos de la altuɾa,
053675|spanish|spanish|spanish/19demarzo/19demarzo_0493.wav|spectrograms/053675.npy|linear_spectrograms/053675.npy|Señor cura -contestó irrespetuosamente Santurrias-, esta noche me desollará las manos la cuerda de la campana grande.| -seɲoɾ kuɾa -kontesto iɾɾespetwosamente santuɾɾias, esta notʃe me desoʎaɾa las manos la kweɾða de la kampana ɡɾande.
056882|spanish|spanish|spanish/bailen/bailen_0427.wav|spectrograms/056882.npy|linear_spectrograms/056882.npy|Todo lo que Usted me decía anteayer, cuando íbamos de camino por aquí, me tenía encantado, y le juro que si no estuviera en vísperas de casarme y fuera preciso seguir con ayo,|toðo lo ke usted me deθia anteajjeɾ, kwando iβamos de kamino poɾ aki, me tenia enkantaðo, i le xuɾo ke si no estuβjeɾa en bispeɾas de kasaɾme i fweɾa pɾeθiso seɣiɾ kon ajjo,
053692|spanish|spanish|spanish/19demarzo/19demarzo_0510.wav|spectrograms/053692.npy|linear_spectrograms/053692.npy|sepa que yo mando en mi iglesia, y. no digo más.|sepa ke ʝo mando en mi iɣlesja, i... no diɣo mas.
057422|spanish|spanish|spanish/bailen/bailen_0967.wav|spectrograms/057422.npy|linear_spectrograms/057422.npy|servidor de los emigrados de Coblenza, postillón de diligencias, carbonero y cajista de imprenta, cuando senté plaza en el ejército de Boulogne,|seɾβiðoɾ de los emiɣɾaðos de koβlɛnθa, postiʎon de dilixɛnθjas, kaɾβoneɾo i kaxista de impɾɛnta, kwando sente plaθa en el exeɾθito de bowloɡne,
054365|spanish|spanish|spanish/19demarzo/19demarzo_1183.wav|spectrograms/054365.npy|linear_spectrograms/054365.npy|todo subordinación, todo ineptitud: cuanto hace por sí resulta torcido,|toðo suβoɾðinaθjon, toðo inepːtitud: kwanto aθe poɾ si ɾɾesulta toɾθiðo,
