023967|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1011.wav|spectrograms/023967.npy|linear_spectrograms/023967.npy|Weißt du, wo die Harfe liegt, die ich suche? Natürlich, antwortete ebenso rasch die Frau.|vaɪst duː, voː diː haɾfə liːkt, diː ɪç zuːxə? nɑːtyːɾlɪç , antvɔɾtətə eːbənzoː raʃ diː fraʊ.
025483|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2527.wav|spectrograms/025483.npy|linear_spectrograms/025483.npy|Dieses Zuviel wird unter diesen gelben Menschen nie mehr zu mir zurückkommen.|diːzəs tsuːfiːl vɪɾt ʊntɜ diːzən ɡɛlbən mɛnʃən niː meːɾ tsuː miːɾ tsuːrykkɔmən.
024734|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1778.wav|spectrograms/024734.npy|linear_spectrograms/024734.npy|Plötzlich sagte die alte Frau zu ihrem Mann: Ich weiß, womit ich die Götter jetzt versöhnen kann.|plœtslɪç zɑːɡtə diː altə fraʊ tsuː iːrəm man: ɪç vaɪs, voːmɪt ɪç diː ɡœtɜ jɛtst fɛɾzøːnən kan.
028297|german|german|german/meisterfloh/meisterfloh_2714.wav|spectrograms/028297.npy|linear_spectrograms/028297.npy|Butter und Brot herbeigebracht und nun an einem kleinen Tischchen in der entfernten Ecke des Zimmers|bʊtɜ ʊnt bɾoːt hɛɾbaɪɡəbɾaxt ʊnt nuːn an aɪnəm klaɪnən tɪʃçən ɪn dɛɾ ɛntfɛɾntən ɛkə dɛs tsɪmɜs
024389|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1433.wav|spectrograms/024389.npy|linear_spectrograms/024389.npy|Hinter dem Baum war ein künstlicher Hügel aus Erde. Diesen kleinen Garten stellte sie am Abend hinter einen weißen Papierschirm,|hɪntɜ deːm baʊm vɑːɾ aɪn kynstlɪçɜ hyːɡəl aʊs eːɾdə. diːzən klaɪnən ɡaɾtən ʃtɛltə ziː am ɑːbənt hɪntɜ aɪnən vaɪsən papiːɾʃɪɾm,
027094|german|german|german/meisterfloh/meisterfloh_1511.wav|spectrograms/027094.npy|linear_spectrograms/027094.npy|zwischen Worten und Gedanken liefen dem Peregrinus in den Weg. Stets richtete er seine Antworten mehr nach ein,|tsvɪʃən vɔɾtən ʊnt ɡədaŋkən liːfən deːm peːrɛɡɾiːnʊs ɪn deːn veːk. ʃteːts rɪçtətə ɛɾ zaɪnə antvɔɾtən meːɾ nɑːx aɪn,
029589|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0924.wav|spectrograms/029589.npy|linear_spectrograms/029589.npy|Ulla Dahlsjö war es, die ihm in dem verhängnisvollen Traum die rettende Hand geboten;|ʊlɑː dɑːlsjøː vɑːɾ ɛs, diː iːm ɪn deːm fɛɾhɛŋnɪsfɔlən tɾaʊm diː rɛtəndə hant ɡəboːtən;
028355|german|german|german/meisterfloh/meisterfloh_2772.wav|spectrograms/028355.npy|linear_spectrograms/028355.npy|da er Lämmerhirts Röschen, das holde liebe Engelskind erblickt, die wahre himmlische Liebe hell aufloderte in seiner Brust.|dɑː ɛɾ lɛmɜhɪɾts rœʃən, das hɔldə liːbə ɛŋəlskɪnt ɛɾblɪkt, diː vɑːrə hɪmlɪʃə liːbə hɛl aʊfloːdɜtə ɪn zaɪnɜ bɾʊst.
024520|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1564.wav|spectrograms/024520.npy|linear_spectrograms/024520.npy|dem Kleide des Vorfrühlings, am Strand, im Haus, im Mond, im Wasser, am Feuer. Und alle sollen sagen:|deːm klaɪdə dɛs foːɾfryːlɪŋs, am ʃtɾant, ɪm haʊs, ɪm mɔnt, ɪm vasɜ, am fɔøɜ. ʊnt alə zɔlən zɑːɡən:
028324|german|german|german/meisterfloh/meisterfloh_2741.wav|spectrograms/028324.npy|linear_spectrograms/028324.npy|einer Leiche zu gehören schien, die bereits im Grabe gelegen. Ebenso erstarrt, ebenso leichenähnlich saßen|aɪnɜ laɪçə tsuː ɡəhøːrən ʃiːn, diː bəraɪts ɪm ɡɾɑːbə ɡəleːɡən. eːbənzoː ɛɾʃtaɾt, eːbənzoː laɪçənɛːnlɪç zɑːsən
027195|german|german|german/meisterfloh/meisterfloh_1612.wav|spectrograms/027195.npy|linear_spectrograms/027195.npy|Weh mir! Die Kleine hatte die Augen geschlossen und begann zu wanken.|veː miːɾ!  diː klaɪnə hatə diː aʊɡən ɡəʃlɔsən ʊnt bəɡan tsuː vaŋkən.
024500|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1544.wav|spectrograms/024500.npy|linear_spectrograms/024500.npy|Hast du nicht ihr Schriftzeichen lesen können, ihre Schrift aus Himmel und Wasserlinie? Die Liebeserklärung? fragte Oizo.|hast duː nɪçt iːɾ ʃrɪftsaɪçən leːzən kœnən, iːrə ʃrɪft aʊs hɪməl ʊnt vasɜliːnɪə? diː liːbeːzɜklɛːrʊŋ? frɑːktə oːiːtsoː.
030054|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_1389.wav|spectrograms/030054.npy|linear_spectrograms/030054.npy|sie blieb so wie Adelgunde frei von allen bösen Folgen. In kurzer Zeit war die Obristin hingerafft.|ziː bliːp zoː viː ɑdəlɡʊndə fraɪ fɔn alən bøːzən fɔlɡən. ɪn k??tsɜ tsaɪt vɑːɾ diː ɔpɾɪstɪn hɪnɡəraft.
027541|german|german|german/meisterfloh/meisterfloh_1958.wav|spectrograms/027541.npy|linear_spectrograms/027541.npy|der mich verlocken wollte ins Verderben, der darauf ausginge, mir alles Liebesglück, das in Dörtjes Besitz mir erblühen könnte,|dɛɾ mɪç fɛɾlɔkən vɔltə ɪns fɛɾdɛɾbən, dɛɾ dɑːraʊf aʊsɡɪŋə, miːɾ aləs liːbɛsɡlyk, das ɪn dœɾtjəs bəzɪts miːɾ ɛɾblyːən kœntə,
025635|german|german|german/meisterfloh/meisterfloh_0052.wav|spectrograms/025635.npy|linear_spectrograms/025635.npy|Sehr irren würde jeder, welcher glauben sollte, daß Peregrinus Tyß ein Kind sei,|zeːɾ ɪrən vyɾdə jeːdɜ, vɛlçɜ ɡlaʊbən zɔltə, das peːrɛɡɾiːnʊs tyːs aɪn kɪnt zaɪ,
030199|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_1534.wav|spectrograms/030199.npy|linear_spectrograms/030199.npy|bezog sie jetzt ein hübsches Quartier in der schönsten Gegend der Stadt, schaffte sich prächtige Kleider an,|bətsoːk ziː jɛtst aɪn hypʃəs kvaɾtiːɾ ɪn dɛɾ ʃøːnstən ɡeːɡənt dɛɾ ʃtat, ʃaftə zɪç pɾɛçtɪɡə klaɪdɜ an,
026986|german|german|german/meisterfloh/meisterfloh_1403.wav|spectrograms/026986.npy|linear_spectrograms/026986.npy|Du bist reich, du bist lebenskräftig, und doch entziehst du dich jeder Mitteilung|duː bɪst raɪç, duː bɪst leːbənskɾɛftɪç, ʊnt dɔx ɛnttsiːst duː dɪç jeːdɜ mɪttaɪlʊŋ
023005|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_0049.wav|spectrograms/023005.npy|linear_spectrograms/023005.npy|eine Kerze brannte, und ihre Lieblingsmagd, welche Singende Seemuschel hieß, kniete neben ihr und weinte in beide Hände.|aɪnə kɛɾtsə bɾantə, ʊnt iːrə liːblɪŋsmakt, vɛlçə zɪŋəndə zeːmʊʃəl hiːs, kniːtə neːbən iːɾ ʊnt vaɪntə ɪn baɪdə hɛndə.
029011|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0346.wav|spectrograms/029011.npy|linear_spectrograms/029011.npy|Sie sind offenbar der ohnmächtigste von allen Widersachern, die mir erschienen, und ich werde Sie mit Ihren eignen Waffen schlagen,|ziː zɪnt ɔfənbɑːɾ dɛɾ oːnmɛçtɪçstə fɔn alən viːdɜzaxɜn, diː miːɾ ɛɾʃiːnən, ʊnt ɪç vɛɾdə ziː mɪt iːrən aɪɡnən vafən ʃlɑːɡən,
029242|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0577.wav|spectrograms/029242.npy|linear_spectrograms/029242.npy|nahm Lothar wieder das Wort, mein erheitertes Wesen lediglich dem begeisternden Inhalt jener Vase zu,|nɑːm lɔtɑːɾ viːdɜ das vɔɾt, maɪn ɛɾhaɪtɜtəs veːzən leːdɪɡlɪç deːm bəɡaɪstɛɾndən ɪnhalt jeːnɜ vɑːzə tsuː,
028680|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0015.wav|spectrograms/028680.npy|linear_spectrograms/028680.npy|Gescheiter wäre es vielleicht gewesen, hätt' ich unser Wiedersehn dem günstigen Zufall überlassen, aber unerträglich war mir der Gedanke, daß wir,|ɡəʃaɪtɜ vɛːrə ɛs fɪlaɪçt ɡəveːzən, hɛt ɪç ʊnzɜ viːdɜzeːn deːm ɡynstɪɡən tsuːfal yːbɜlasən, ɑːbɜ ʊnɛɾtɾɛːklɪç vɑːɾ miːɾ dɛɾ ɡədaŋkə, das viːɾ,
027176|german|german|german/meisterfloh/meisterfloh_1593.wav|spectrograms/027176.npy|linear_spectrograms/027176.npy|stieß er sich ganz entsetzlich die nicht unansehnliche Nase an dem Diadem von funkelnden Brillanten, das die Kleine in|ʃtiːs ɛɾ zɪç ɡants ɛntzɛtslɪç diː nɪçt ʊnanzeːnlɪçə nɑːzə an deːm diːadeːm fɔn fʊŋkəlndən bɾɪlantən, das diː klaɪnə ɪn
029609|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0944.wav|spectrograms/029609.npy|linear_spectrograms/029609.npy|seine Mutter, die er mit seinem Solde gehegt und gepflegt, nicht mehr am Leben gefunden, wie er sich nun ganz verlassen auf der Welt fühle,|zaɪnə mʊtɜ, diː ɛɾ mɪt zaɪnəm zɔldə ɡeːeːkt ʊnt ɡəpfleːkt, nɪçt meːɾ am leːbən ɡəfʊndən, viː ɛɾ zɪç nuːn ɡants fɛɾlasən aʊf dɛɾ vɛlt fyːlə,
024820|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1864.wav|spectrograms/024820.npy|linear_spectrograms/024820.npy|Die Armeen aus der Mandschurei aber, die aus dem Norden kamen, drehten wir nach Norden um, so daß sie ruhig zur sibirischen Eisenbahn zurückmarschierten.|diː aɾmeːən aʊs dɛɾ mantʃuːraɪ ɑːbɜ, diː aʊs deːm nɔɾdən kɑːmən, dɾeːtən viːɾ nɑːx nɔɾdən ʊm, zoː das ziː ruːɪç tsuːɾ ziːbiːrɪʃən aɪzənbɑːn tsuːrykmaɾʃiːɾtən.
028469|german|german|german/meisterfloh/meisterfloh_2886.wav|spectrograms/028469.npy|linear_spectrograms/028469.npy|erfaßt das unglückselige Glas, finsteres Mißtrauen erfüllt das Gemüt,|ɛɾfast das ʊnɡlykzeːlɪɡə ɡlɑːs, fɪnstərəs mɪstɾaʊən ɛɾfylt das ɡəmyːt,
025114|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2158.wav|spectrograms/025114.npy|linear_spectrograms/025114.npy|Aber auch erblindet sahen sie die Leute von Seta Sommer und Winter, Abend für Abend, mit dem Fächer auf dem Altan sitzen,|ɑːbɜ aʊx ɛɾblɪndət zɑːən ziː diː lɔøtə fɔn zeːtɑː zɔmɜ ʊnt vɪntɜ, ɑːbənt fyːɾ ɑːbənt, mɪt deːm fɛçɜ aʊf deːm altɑːn zɪtsən,
026419|german|german|german/meisterfloh/meisterfloh_0836.wav|spectrograms/026419.npy|linear_spectrograms/026419.npy|Seht mal den Spitzbuben, das wäre mir recht. Fort, Patron, ins Hundeloch!|zeːt mɑːl deːn ʃpɪtsbuːbən, das vɛːrə miːɾ rɛçt.  fɔɾt, patɾoːn, ɪns hʊndəlɔx! 
028478|german|german|german/meisterfloh/meisterfloh_2895.wav|spectrograms/028478.npy|linear_spectrograms/028478.npy|mit gleißendem Schuppenpanzer und den schönsten polierten goldenen Stiefeln dicht vor dem Herrn Peregrinus Tyß auf der Bettdecke.|mɪt ɡlaɪsəndəm ʃʊpənpantsɜ ʊnt deːn ʃøːnstən poːliːɾtən ɡɔldənən ʃtiːfəln dɪçt fɔɾ deːm hɛɾn peːrɛɡɾiːnʊs tyːs aʊf dɛɾ bɛtdɛkə.
024722|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1766.wav|spectrograms/024722.npy|linear_spectrograms/024722.npy|Als er sie perückenlos mit helleuchtendem Schädel am Altanrand sitzen sah, prustete er vor Lachen, kollerte ins Zimmer zurück und rief:|als ɛɾ ziː peːrykɛnloːs mɪt hɛlɔøçtəndəm ʃɛːdəl am altanrant zɪtsən zɑː, pɾʊstətə ɛɾ fɔɾ laxən, kɔlɜtə ɪns tsɪmɜ tsuːryk ʊnt riːf:
029515|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0850.wav|spectrograms/029515.npy|linear_spectrograms/029515.npy|und daß er soeben den Guffrisberg hinansteige, wo die große Pinge oder Tagesöffnung der Erzgrube befindlich.|ʊnt das ɛɾ zoːeːbən deːn ɡʊfrɪsbɛɾk hɪnanʃtaɪɡə, voː diː ɡɾoːsə pɪŋə oːdɜ tɑɡeːzœfnʊŋ dɛɾ ɛɾtsɡɾuːbə bəfɪntlɪç.
025701|german|german|german/meisterfloh/meisterfloh_0118.wav|spectrograms/025701.npy|linear_spectrograms/025701.npy|der Mund verzog sich zum sanften Lächeln, es griff nach der Puppe und drückte sie zärtlich an sich, als man sie ihm gab.|dɛɾ mʊnt fɛɾtsoːk zɪç tsʊm zanftən lɛçəln, ɛs ɡɾɪf nɑːx dɛɾ pʊpə ʊnt dɾyktə ziː tsɛɾtlɪç an zɪç, als man ziː iːm ɡɑːp.
027727|german|german|german/meisterfloh/meisterfloh_2144.wav|spectrograms/027727.npy|linear_spectrograms/027727.npy|Glaubt doch, Herr Wirt, nichts von dem allen, was der Galgenschwengel, der unnütze Haselant dort hergeplappert.|ɡlaʊpt dɔx, hɛɾ vɪɾt, nɪçts fɔn deːm alən, vas dɛɾ ɡalɡənʃvɛnɡəl, dɛɾ ʊnnytsə hɑzəlant dɔɾt hɛɾɡɛplapɜt.
029465|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0800.wav|spectrograms/029465.npy|linear_spectrograms/029465.npy|und das ernste Antlitz einer mächtigen Frau wurde sichtbar.|ʊnt das ɛɾnstə antlɪts aɪnɜ mɛçtɪɡən fraʊ v??də zɪçtbɑːɾ.
026222|german|german|german/meisterfloh/meisterfloh_0639.wav|spectrograms/026222.npy|linear_spectrograms/026222.npy|Das Glas ist nämlich gar nicht so klein, da ein Pulverkorn nur höchstens achtmal größer sein mag.|das ɡlɑːs ɪst nɛːmlɪç ɡɑːɾ nɪçt zoː klaɪn, dɑː aɪn pʊlfɜkɔɾn nuːɾ hœkstəns axtmɑːl ɡɾøːsɜ zaɪn mɑːk. 
025725|german|german|german/meisterfloh/meisterfloh_0142.wav|spectrograms/025725.npy|linear_spectrograms/025725.npy|Später verließ indessen ein Hofmeister nach dem andern das Haus, nicht, weil der Knabe ihnen mißbehagte,|ʃpɛːtɜ fɛɾliːs ɪndɛsən aɪn hɔfmaɪstɜ nɑːx deːm andɜn das haʊs, nɪçt, vaɪl dɛɾ knɑːbə iːnən mɪsbeːɑːktə,
027913|german|german|german/meisterfloh/meisterfloh_2330.wav|spectrograms/027913.npy|linear_spectrograms/027913.npy|Viel zu lieb hab' ich Euch als einen guten vortrefflichen Herzensmann, bester Herr Tyß,|fiːl tsuː liːp hɑːp ɪç ɔøç als aɪnən ɡuːtən foːɾtɾɛflɪçən hɛɾtsənsman, bɛstɜ hɛɾ tyːs,
027220|german|german|german/meisterfloh/meisterfloh_1637.wav|spectrograms/027220.npy|linear_spectrograms/027220.npy|Holdes, liebes Mädchen! wäre es kein Trug? wäre es möglich, daß du mich|hɔldəs, liːbəs mɛːdçən! vɛːrə ɛs kaɪn tɾuːk? vɛːrə ɛs møːklɪç, das duː mɪç
029938|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_1273.wav|spectrograms/029938.npy|linear_spectrograms/029938.npy|in Staub zu zerfallen begann. In der Kopparbergskirche, dort,|ɪn ʃtaʊp tsuː tsɛɾfalən bəɡan. ɪn dɛɾ kɔpaɾbɜkskɪɾçə, dɔɾt,
026218|german|german|german/meisterfloh/meisterfloh_0635.wav|spectrograms/026218.npy|linear_spectrograms/026218.npy|wogegen ich ihm ein sehr wichtiges, geheimnisvolles Glas einhändigte. Eben dieses Glas ist aber die Ursache unserer|voːɡeːɡən ɪç iːm aɪn zeːɾ vɪçtɪɡəs, ɡəhaɪmnɪsfɔləs ɡlɑːs aɪnhɛndɪçtə. eːbən diːzəs ɡlɑːs ɪst ɑːbɜ diː ??zaxə ʊnzərɜ
029018|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0353.wav|spectrograms/029018.npy|linear_spectrograms/029018.npy|denn der Mensch könnte gebieten über die geistige Kraft, die nicht sein Eigentum,|dɛn dɛɾ mɛnʃ kœntə ɡəbiːtən yːbɜ diː ɡaɪstɪɡə kɾaft, diː nɪçt zaɪn aɪɡəntuːm,
025175|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2219.wav|spectrograms/025175.npy|linear_spectrograms/025175.npy|Die sich balgenden Leute am Ufer, die Landungshallen verkleinerten sich, als schrumpften sie in irgendeine Tasche hinein.|diː zɪç balɡəndən lɔøtə am uːfɜ, diː landʊŋshalən fɛɾklaɪnɜtən zɪç, als ʃrʊmpftən ziː ɪn ɪɾɡəndaɪnə taʃə hɪnaɪn.
025495|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_2539.wav|spectrograms/025495.npy|linear_spectrograms/025495.npy|faßten sie zwei Männerhände, zogen sie wie eine Maschine durch die Dunkelheit, wo kniehohes Wasser ihr entgegenschoß, schäumendes und gurgelndes Wasser,|fastən ziː tsvaɪ mɛnɜhɛndə, tsoːɡən ziː viː aɪnə maʃiːnə d??ç diː dʊnkəlhaɪt, voː kniːoːəs vasɜ iːɾ ɛntɡeːɡənʃoːs, ʃɔøməndəs ʊnt ɡ??ɡəlndəs vasɜ,
028298|german|german|german/meisterfloh/meisterfloh_2715.wav|spectrograms/028298.npy|linear_spectrograms/028298.npy|dem Geschwister stattliche Butterstollen bereitete. Die muntern Jungen drängten sich dicht an die liebe Schwester, und wenn sie in|deːm ɡəʃvɪstɜ ʃtatlɪçə bʊtɜstɔlən bəraɪtətə. diː mʊntɜn jʊŋən dɾɛŋtən zɪç dɪçt an diː liːbə ʃvɛstɜ, ʊnt vɛn ziː ɪn
029866|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_1201.wav|spectrograms/029866.npy|linear_spectrograms/029866.npy|Auch Pehrson Dahlsjö sprach lächelnd zum alten Steiger:|aʊx peːɾzoːn dɑːlsjøː ʃpɾɑːx lɛçəlnt tsʊm altən ʃtaɪɡɜ:
029288|german|german|german/serapionsbruederauswahl/serapionsbruederauswahl_0623.wav|spectrograms/029288.npy|linear_spectrograms/029288.npy|und freute sich mit ihnen, denn mit ihrem Gewinn kam ja Saft und Kraft in das rege Leben der ganzen Stadt.|ʊnt frɔøtə zɪç mɪt iːnən, dɛn mɪt iːrəm ɡəvɪn kɑːm jɑː zaft ʊnt kɾaft ɪn das reːɡə leːbən dɛɾ ɡantsən ʃtat.
026202|german|german|german/meisterfloh/meisterfloh_0619.wav|spectrograms/026202.npy|linear_spectrograms/026202.npy|und ob ihr dieses zu verschaffen möglich, das hing von letzten und schwierigsten Operation ab.|ʊnt ɔp iːɾ diːzəs tsuː fɛɾʃafən møːklɪç, das hɪŋ fɔn lɛtstən ʊnt ʃviːrɪçstən oːpeːratsjoːn ap. 
024907|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_1951.wav|spectrograms/024907.npy|linear_spectrograms/024907.npy|am andern Ende des Bretterwegs war die weiße Scheibe angebracht,|am andɜn ɛndə dɛs bɾɛtɜveːks vɑːɾ diː vaɪsə ʃaɪbə anɡəbɾaxt,
027731|german|german|german/meisterfloh/meisterfloh_2148.wav|spectrograms/027731.npy|linear_spectrograms/027731.npy|und treten die Gedanken zu Brei. Und da denkt der einbildische Faselhans, weil er zuweilen schwerfällig durch die Lüfte flattert,|ʊnt tɾeːtən diː ɡədaŋkən tsuː bɾaɪ. ʊnt dɑː dɛŋkt dɛɾ aɪnbɪldɪʃə fɑzəlhɑːns, vaɪl ɛɾ tsuːvaɪlən ʃveːɾfɛlɪç d??ç diː lyftə flatɜt,
027654|german|german|german/meisterfloh/meisterfloh_2071.wav|spectrograms/027654.npy|linear_spectrograms/027654.npy|wie man sie noch niemals gesehen hatte. Der eine, ein alter Mensch von abscheulichem schmutzigem Ansehen,|viː man ziː nɔx niːmɑːls ɡəzeːən hatə. dɛɾ aɪnə, aɪn altɜ mɛnʃ fɔn apʃɔølɪçəm ʃmʊtsɪɡəm anzeːən,
023721|german|german|german/achtgesichterambiwasse/achtgesichterambiwasse_0765.wav|spectrograms/023721.npy|linear_spectrograms/023721.npy|Liebe Wolke vor dem Mond, sagte der alte Fischer, zieh deine besten Kleider an!|liːbə vɔlkə fɔɾ deːm mɔnt , zɑːɡtə dɛɾ altə fɪʃɜ, tsiː daɪnə bɛstən klaɪdɜ an!
026049|german|german|german/meisterfloh/meisterfloh_0466.wav|spectrograms/026049.npy|linear_spectrograms/026049.npy|daß man wohl merkt, wie oft sie ihm selbst über die Nase gefahren. Erst wenn man den ganzen Tisch mit einem guten Vergrößerungsglase überschaute,|das man voːl mɛɾkt, viː ɔft ziː iːm zɛlpst yːbɜ diː nɑːzə ɡəfɑːrən. eːɾst vɛn man deːn ɡantsən tɪʃ mɪt aɪnəm ɡuːtən fɛɾɡɾøːseːrʊŋsɡlɑːzə yːbɜʃaʊtə,
026766|german|german|german/meisterfloh/meisterfloh_1183.wav|spectrograms/026766.npy|linear_spectrograms/026766.npy|aber kein junger Mann sich zum erstenmal in ein anderes Wesen verliebt hat als in ein überirdisches,|ɑːbɜ kaɪn jʊŋɜ man zɪç tsʊm ɛɾʃtɛnmɑːl ɪn aɪn andərəs veːzən fɛɾliːpt hat als ɪn aɪn yːbɜɪɾdɪʃəs,
